Experiment,Northwest,West,Northern Rockies,Southwest,South,Upper Midwest,Ohio Valley,Southeast,Northeast
CMIP6 GCM,-24.011,-18.291,-20.647,-21.059,-11.786,-18.346,-19.069,-10.822,-20.710
Dynamical (RCM),-27.135,-24.200,-23.122,-24.614,-18.199,-19.849,-22.514,-15.210,-21.693
Dynamical (RCM) corrected with Livneh,-28.690,-24.097,-24.433,-25.914,-17.266,-21.309,-23.527,-13.939,-21.954
Dynamical (RCM) corrected with Daymet ,-28.037,-23.439,-24.072,-26.108,-17.125,-21.526,-23.630,-13.919,-22.029
Statistical (DBCCA) trained with Livneh,-23.483,-17.951,-19.617,-20.495,-14.909,-19.131,-19.763,-12.700,-20.358
Statistical (DBCCA) trained with Daymet,-23.652,-17.311,-18.968,-20.181,-15.068,-18.497,-20.378,-12.900,-19.794
,,,,,,,,,
Projected future changes in number of frost days,,,,,,,,,
