Experiment,Northwest,West,Northern Rockies,Southwest,South,Upper Midwest,Ohio Valley,Southeast,Northeast
CMIP6 GCM,1.924,1.858,2.138,2.036,1.961,2.327,2.149,1.707,2.242
Dynamical (RCM),1.861,1.803,2.029,1.894,1.825,2.178,2.01,1.527,1.966
Dynamical (RCM) corrected with Livneh,1.864,1.809,2.034,1.897,1.83,2.181,2.015,1.533,1.969
Dynamical (RCM) corrected with Daymet ,1.861,1.803,2.028,1.893,1.825,2.178,2.012,1.529,1.967
Statistical (DBCCA) trained with Livneh,1.924,1.871,2.272,2.051,2.047,2.377,2.219,1.672,2.186
Statistical (DBCCA) trained with Daymet,1.917,1.884,2.258,2.011,2.001,2.355,2.174,1.655,2.185
,,,,,,,,,
Projected future changes in daily maximum temperature (oC) at regional scale,,,,,,,,,
