Experiment,Northwest,West,Northern Rockies,Southwest,South,Upper Midwest,Ohio Valley,Southeast,Northeast
CMIP6 GCM,0.1,0.027,0.059,0.016,0.014,0.109,0.132,0.183,0.206
Dynamical (RCM),0.132,0.103,0.129,0.076,0.059,0.152,0.143,0.227,0.299
Dynamical (RCM) corrected with Livneh,0.124,0.069,0.102,0.054,0.103,0.15,0.168,0.231,0.265
Dynamical (RCM) corrected with Daymet ,0.13,0.076,0.102,0.055,0.108,0.155,0.171,0.235,0.274
Statistical (DBCCA) trained with Livneh,0.139,0.066,0.082,0.045,0.081,0.134,0.17,0.212,0.228
Statistical (DBCCA) trained with Daymet,0.151,0.074,0.088,0.053,0.094,0.157,0.185,0.222,0.262
,,,,,,,,,
Projected future changes in precipitation (mm/day) at regional scale,,,,,,,,,
