Experiment,Northwest,West,Northern Rockies,Southwest,South,Upper Midwest,Ohio Valley,Southeast,Northeast
CMIP6 GCM,2.396,1.986,2.64,2.175,2.024,2.53,2.248,1.711,2.192
Dynamical (RCM),2.098,1.663,2.018,1.71,1.6,1.933,1.53,1.387,1.785
Dynamical (RCM) corrected with Livneh,2.124,1.679,2.02,1.761,1.611,1.934,1.542,1.391,1.783
Dynamical (RCM) corrected with Daymet ,2.121,1.682,2.015,1.764,1.626,1.938,1.54,1.39,1.785
Statistical (DBCCA) trained with Livneh,2.199,2.025,2.767,2.038,2.027,2.454,2.154,1.574,2.031
Statistical (DBCCA) trained with Daymet,2.281,2.034,2.727,1.981,1.932,2.469,2.043,1.464,1.984
,,,,,,,,,
Projected future changes in 95th percentile of  daily maximum temperature (oC) at regional scale,,,,,,,,,
