Experiment,Northwest,West,Northern Rockies,Southwest,South,Upper Midwest,Ohio Valley,Southeast,Northeast
CMIP6 GCM,1.391,0.622,0.705,0.667,0.387,0.859,1.006,1.03,1.38
Dynamical (RCM),1.503,0.962,0.962,0.727,0.553,0.944,0.96,1.338,1.68
Dynamical (RCM) corrected with Livneh,0.855,0.486,0.632,0.438,0.568,0.813,0.937,1.333,1.62
Dynamical (RCM) corrected with Daymet ,1.098,0.623,0.754,0.532,0.605,0.93,1.033,1.39,1.815
Statistical (DBCCA) trained with Livneh,0.828,0.438,0.487,0.385,0.417,0.655,0.792,0.895,1.137
Statistical (DBCCA) trained with Daymet,1.057,0.52,0.615,0.508,0.47,0.814,0.858,0.943,1.398
,,,,,,,,,
Projected future changes in number of days above 95th percentile of  daily precipitation at regional scale,,,,,,,,,
